IdProvincia;IdEstacion;Fecha;Year;Dia;t_media_grados;t_max_grados;hora_temp_max;t_min_grados;hora_temp_min;humedad_media_perc;humedad_max_perc;hora_hum_max;humedad_min_perc;hora_hum_min;vel_viento_m_s;dir_viento_grad;VelVientoMa_m_s;hora_vel_max;dir_viento_vel_max_grad;radiacion_MJ_m2);precipitacion_mm;PePMon;EtPMon
5;1;01/01/2010;2010;1;3,1;6,69;13:20;0,96;02:10;86,6;94,7;18:40;77,7;09:40;5,97;253,6;14,38;10:38;251,4;5,63;0,6;0;0,78
5;1;02/01/2010;2010;2;3,8;7,42;13:40;0,15;02:00;86,3;95,6;02:10;76,4;10:30;2,69;209,2;7,69;20:13;169,2;4,68;0;0;0,65
5;1;03/01/2010;2010;3;6;8,96;15:00;3,29;01:20;90,3;;;;;2,83;173,9;7,95;05:50;173,8;1,46;4;1,03;0,62
5;1;04/01/2010;2010;4;5,89;8,5;10:00;3,89;19:20;95,9;98,9;23:50;85;10:20;1,78;119,3;7,71;10:16;184,9;1,65;8,2;4,3;0,53
5;1;05/01/2010;2010;5;4,3;5,29;14:00;2,76;00:00;94,3;99,5;04:40;84,4;16:20;2,02;350,1;4,83;22:14;318,2;2,11;1,4;0;0,48
5;1;06/01/2010;2010;6;1,33;4,62;14:50;-0,38;08:30;81,7;92,9;08:40;59,6;15:10;2,29;295,5;7,02;01:41;310;7,26;0;0;0,75
5;1;07/01/2010;2010;7;-0,46;0,62;12:30;-3,05;00:00;86,5;98,8;07:10;70,8;19:30;4,81;34,47;11,41;18:27;18,25;2,36;0,2;0;0,64
5;1;08/01/2010;2010;8;-2,55;0,08;13:40;-4,25;04:40;80,8;91,6;03:40;62,1;13:30;5,3;334,4;9,66;14:53;338,8;6,99;0;0;0,81
5;1;09/01/2010;2010;9;-3,47;0,21;13:20;-6,05;00:00;80,8;92,4;00:00;59,69;15:40;3,24;294,2;7,51;09:33;306,1;8,45;0;0;0,69
5;1;10/01/2010;2010;10;-3,97;0,22;13:00;-7,92;06:10;83;96,4;19:20;52,6;13:00;2,9;159,8;8,02;15:39;157;4,11;0;0;0,76
5;1;11/01/2010;2010;11;-2,23;0,95;14:50;-7;03:30;92,6;99,2;22:10;80,7;11:30;1,32;217,2;4,77;22:54;161;6,13;0,2;0;0,38
5;1;12/01/2010;2010;12;3,32;6,9;14:30;0,15;00:00;89,7;98,4;00:00;85;16:40;4,27;216,3;12;16:36;280,6;1,75;4;1,03;0,57
5;1;13/01/2010;2010;13;5,14;9,5;21:10;1,16;03:20;86,1;94,8;08:00;76,9;13:40;4,11;212;14,32;23:50;240,2;2,62;5;1,85;0,86
5;1;14/01/2010;2010;14;5,44;9,1;00:00;0,49;23:40;80,9;96,4;23:20;65,35;15:10;9,12;268,7;20,46;03:39;254,6;8,03;0;0;1,36
5;1;15/01/2010;2010;15;3,8;8,75;14:40;-0,58;04:50;83,9;98;05:40;51,36;12:40;1,68;215,5;5,95;22:25;237,2;7,04;0,2;0;0,89
5;1;16/01/2010;2010;16;8,18;13,29;12:00;3,15;05:10;87,7;98,9;23:50;73,6;10:10;3,66;238,4;11;11:39;235,9;4,01;2;0;1,01
5;1;17/01/2010;2010;17;6,54;8,09;15:40;3,49;23:30;98,8;99,5;09:00;97,6;14:50;1,25;79;4,81;01:48;340,9;1,55;4,4;1,36;0,41
5;1;18/01/2010;2010;18;7,97;11,89;11:40;2,76;05:40;88,8;99,5;00:40;70;12:00;1,83;180,9;7,87;09:41;183,7;4,36;0,2;0;0,82
5;1;19/01/2010;2010;19;7,61;12,96;12:20;3,69;22:40;87,9;96,7;03:30;68,34;12:30;3,16;231,5;11,28;12:33;273,4;6,48;0,2;0;1,11
5;1;20/01/2010;2010;20;5,27;9,02;14:00;1,42;00:00;83;95,8;07:40;59,65;13:00;3,37;247,5;8,88;09:19;293,3;9,93;0;0;1,12
5;1;21/01/2010;2010;21;4,01;9,95;14:00;-0,32;01:10;87;96,2;02:00;62,25;13:50;1,15;196,7;3,1;13:30;250,5;7,76;0;0;0,75
5;1;22/01/2010;2010;22;6,4;11,61;12:50;3,55;02:50;88,4;96,3;21:00;69,14;12:20;1,22;147,3;4,14;21:55;79,1;6,15;0;0;0,77
5;1;23/01/2010;2010;23;7,14;11,29;13:10;4,02;03:30;80,3;97,6;01:50;55,57;13:20;2,38;148,6;6,33;07:01;175,1;6,03;1,6;0;1,16
5;1;24/01/2010;2010;24;5,2;7,16;15:00;-0,32;23:50;89,9;98,8;07:40;80,7;19:50;3,06;28,7;7,52;15:13;41,98;2,97;0,8;0;0,65
5;1;25/01/2010;2010;25;0,46;4,21;12:00;-2,51;23:30;82,3;96,6;02:00;61,55;14:30;2,68;26,17;7,83;15:04;26,88;8,58;0;0;0,83
5;1;26/01/2010;2010;26;0,55;5,35;14:10;-2,44;00:00;80,5;92,2;00:00;62,74;15:40;3,52;41,96;8,64;12:15;22,7;11,29;0;0;0,99
5;1;27/01/2010;2010;27;-0,28;2,68;15:30;-4,65;23:10;70,3;91,2;23:20;46,43;15:20;4,24;49,88;12,09;11:17;46,56;8,43;0;0;1,19
5;1;28/01/2010;2010;28;-1,63;5,28;14:10;-7,19;05:20;77,6;95,2;05:40;40,26;14:20;0,94;270,4;3,4;15:04;11,97;11,12;0;0;0,77
5;1;29/01/2010;2010;29;1,56;7,35;14:40;-2,92;06:10;82;96,8;09:50;61,84;04:20;4,32;260,7;9,95;15:23;280,7;10,58;0,2;0;1,16
5;1;30/01/2010;2010;30;2,39;7,82;14:10;-0,85;05:00;86,1;98,2;06:30;66,22;15:00;5,18;262,8;9,27;13:27;256,3;9,28;0;0;1,14
5;1;31/01/2010;2010;31;2,91;8,09;13:50;-0,98;23:40;85,4;97;00:00;65,35;15:30;5,4;264,8;11,28;14:29;274,5;7,76;0;0;1,2
5;1;01/02/2010;2010;32;0,38;6,41;15:30;-4,51;07:00;79,8;97;00:10;45,34;14:50;1,63;123,3;5,18;12:33;74;12,38;0,2;0;1,02
5;1;02/02/2010;2010;33;0,29;8,81;14:50;-5,98;05:10;78,7;95,6;04:40;47,41;14:00;1,03;226;3,75;11:42;307,9;12,89;0;0;0,94
